Code,Company,Price,Change,Volume,Value,Captilisation
SKC,SkyCity Entertainment Group Limited (NS),$2.620,$0.010 / 0.38%,"189,319","$497,852.52","$1,991,737,648"
SKL,Skellerup Holdings Limited,$5.300,-$0.020 / -0.38%,"44,773","$237,912.12","$1,039,179,385"
SKO,Serko Limited,$2.200,-$0.070 / -3.08%,"19,518","$43,303.71","$264,974,651"
SKT,Sky Network Television Limited,$2.290,-$0.040 / -1.72%,"24,891","$57,204.53","$333,362,607"
SML,Synlait Milk Limited (NS),$3.490,-$0.060 / -1.69%,"127,631","$445,573.97","$762,849,997"
SNC,Southern Charter Financial Group Limited,$0.006,$0.000 / 0.00%,0,$0.00,"$3,089,367"
SPG,Stride Property Ltd & Stride Investment Management Ltd (NS),$1.400,$0.000 / 0.00%,"233,450","$325,154.83","$756,463,316"
SPK,Spark New Zealand Limited,$5.250,$0.040 / 0.77%,"1,890,258","$9,884,803.22","$9,834,111,079"
SPN,South Port New Zealand Limited,$8.210,$0.000 / 0.00%,89,$733.15,"$215,388,513"
SPY,Smartpay Holdings Limited,$1.225,$0.090 / 7.93%,"23,138","$27,963.79","$291,899,080"
STU,Steel & Tube Holdings Limited,$1.300,$0.010 / 0.78%,"17,453","$22,567.67","$216,908,465"
SUM,Summerset Group Holdings Limited,$9.100,-$0.030 / -0.33%,"68,847","$630,408.63","$2,112,263,735"
SVR,Savor Limited,$0.395,$0.000 / 0.00%,13,$5.07,"$26,380,054"
TAH,Third Age Health Services Limited,$1.650,$0.000 / 0.00%,402,$663.24,"$16,506,846"
TCL,The City of London Investment Trust Plc,$8.000,$0.030 / 0.38%,223,"$1,783.83","$3,818,798,944"
TEM,Templeton Emerging Markets Investment Trust Plc,$2.970,$0.020 / 0.68%,"5,999","$17,818.72","$3,450,501,150"
TGG,T&G Global Limited,$2.360,$0.000 / 0.00%,254,$597.88,"$289,201,961"
THL,Tourism Holdings Limited,$3.640,-$0.030 / -0.82%,"12,654","$46,103.82","$779,009,056"
TNZ,Smartshares NZ Top 10 ETF,$1.913,$0.004 / 0.21%,"62,728","$119,708.40","$139,900,699"
TRA,Turners Automotive Group Limited,$3.220,-$0.030 / -0.92%,"8,399","$27,089.86","$279,174,795"
TRU,TruScreen Group Limited,$0.039,$0.000 / 0.00%,"26,744","$1,014.08","$14,151,784"
TSK,TASK Group Holdings Limited,$0.360,$0.000 / 0.00%,"2,692",$975.38,"$127,738,414"
